,Sport,Date,Competition,Description
1727,Football,23-Dec 14:30,GCC Champions League,Al Ain (UAE) v Zakho
1728,Football,23-Dec 14:35,Israel Ligat Al Women,Ramat Hasharon Women v Hapoel Katamon Jerusalem Women
1729,Football,23-Dec 14:40,Israel Ligat Al Women,Maccabi Tel Aviv FC Women v Maccabi Holon FC Women
1730,Football,23-Dec 14:45,Israel Ligat Al Women,Hapoel Ra'anana Women v Maccabi Kishronot Hadera Women
1731,Football,23-Dec 14:45,AFC Champions League Two,Mohun Bagan AC v Sepahan
1732,Football,23-Dec 14:50,Israel Ligat Al Women,Maccabi Panthers Ashdod Women v Kiryat Gat Women
1733,Football,23-Dec 15:00,Egypt League Cup,Modern Sport Club v Wadi Degla
1734,Football,23-Dec 15:00,Africa Cup Of Nations,Senegal v Botswana
1735,Football,23-Dec 15:00,Nigeria Premier League,Nasarawa United v Barau
1736,Football,23-Dec 15:00,Egypt League Cup,Smouha Sporting Club v Al Ittihad (EGY)
1737,Football,23-Dec 15:15,GCC Champions League,Al Shabab Riyadh v Al Rayyan SC (QAT)
1738,Football,23-Dec 15:30,Iraq Stars League,Duhok v Al Najaf
1739,Football,23-Dec 15:30,Iraq Stars League,Duhok v Al Najaf
1740,Football,23-Dec 15:30,Iraq Stars League,Al Naft SC v Al Quwa Al Jawiya
1741,Football,23-Dec 15:45,Kuwait Emir Cup,Kuwait SC v Al Arabi (Kuwait)
1742,Football,23-Dec 16:00,Bahrain King's Cup,Al Ittihad (BHR) v Qalali
1743,Football,23-Dec 16:00,AFC Champions League Elite,Al Sadd (QAT) v Shabab Al-Ahli Dubai FC
1744,Football,23-Dec 17:00,Albania Superliga,Teuta v KF Egnatia
1745,Football,23-Dec 17:00,Albania Superliga,Partizani Tirana v Dinamo Tirana
1746,Football,23-Dec 17:00,GCC Champions League,Al Qadsia (KUW) v Sitra Cultural & Sports Club
1747,Football,23-Dec 17:30,Africa Cup Of Nations,Nigeria v Tanzania
1748,Football,23-Dec 17:30,Turkey Cup,Fenerbahce v Besiktas JK
1749,Football,23-Dec 18:00,Egypt League Cup,Ghazi El Mehalla v Al Ahly Cairo
1750,Football,23-Dec 18:15,AFC Champions League Elite,Al Ittihad (KSA) v Nasaf
1751,Football,23-Dec 18:30,Algeria Ligue 1,MC Alger v ES Ben Aknoun
1752,Football,23-Dec 18:45,Portugal Cup,Caldas v Braga
1753,Football,23-Dec 19:00,England National League Cup,Aldershot Town v West Ham United U21
1754,Football,23-Dec 19:00,Supercoppa Sammarinese,AC Virtus v Tre Fiori
1755,Football,23-Dec 19:00,Autonomicas - Comunidad Valenciana - Sur,UD Carcaixent v UD Rayo Ibense
1756,Football,23-Dec 19:00,Club Friendly,Serra Branca v Maguary PE
1757,Football,23-Dec 19:45,England Southern Premier South,Hungerford v Taunton Town
1758,Football,23-Dec 20:00,Africa Cup Of Nations,Tunisia v Uganda
1759,Football,23-Dec 20:00,England League Cup,Arsenal v Crystal Palace
1760,Football,23-Dec 20:00,England Southern Premier South,Farnham Town v Plymouth Parkway
1761,Football,23-Dec 20:15,Argentina Torneo Federal,Atletico Escobar FC v Lima Foot Ball Club
1762,Football,23-Dec 20:45,Portugal Primeira Liga,Guimaraes v Sporting Lisbon
1763,Football,23-Dec 23:00,Bolivia Primera Division,Jorge Wilstermann v San Juan FC
1764,Football,24-Dec 03:30,India Women's League,Gokulam Kerala FC Women v Sreebhumi FC Women
1765,Football,24-Dec 03:30,India Women's League,Nita FA Women v Sesa FA Women
1766,Football,24-Dec 08:30,Thailand League 3 Cup,Samutsongkhram City v Rajpracha
1767,Football,24-Dec 08:30,Thailand League 3 Cup,Thap Luang United v Nonthaburi United S.Boonmeerit
1768,Football,24-Dec 08:30,Thailand League 3 Cup,Futera United FC v Royal Thai Air Force FC
1769,Football,24-Dec 08:30,Thailand League 3 Cup,Kasembundit University v North Bangkok College FC
1770,Football,24-Dec 08:30,Thailand League 3 Cup,Kasembundit University v North Bangkok College FC
1771,Football,24-Dec 08:30,Thailand League 3 Cup,Cha Choeng Sao FC v Burapha United
1772,Football,24-Dec 08:30,Thailand League 3 Cup,Khelang United v Chattrakan City FC
1773,Football,24-Dec 09:00,Myanmar National League,Yangon United v Ayeyawady United
1774,Football,24-Dec 09:30,India Women's League,Sethu Women v East Bengal FC Women
1775,Football,24-Dec 09:30,India Women's League,Kickstart FC Women v Garhwal United FC Women
1776,Football,24-Dec 09:30,Myanmar National League,Thitsar Arman FC v Shan United FC
1777,Football,24-Dec 10:00,Azerbaijan League 1,FK Energetik Mingechevir v FC Sahdag Qusar
1778,Football,24-Dec 10:00,Turkey Cup,Igdir Belediyespor v Aliaga FAS
1779,Football,24-Dec 10:00,Azerbaijan League 1,Sabail FC v Shimal
1780,Football,24-Dec 10:00,Thai League U21 - Final Stages,Buriram United U21 v Bangkok United FC U21
1781,Football,24-Dec 10:30,Azerbaijan League 1,Baku Sporting v FK Zaqatala
1782,Football,24-Dec 11:00,Turkey Division 2 Kirmizi,Yeni Malatyaspor v Menemen Belediyespor
1783,Football,24-Dec 11:00,Thailand Premier League,Sukhotai FC v Buriram United
1784,Football,24-Dec 11:00,Thailand Premier League,Ratchaburi v Chiangrai United
1785,Football,24-Dec 12:00,Thailand Premier League,BG Pathum Utd v Kanchanaburi
1786,Football,24-Dec 12:00,Kosovo Superleague,KF Drita v Prishtina
1787,Football,24-Dec 12:10,Saudi Arabia Division 1,Al-Anwar v Al Baten Club (KSA)
1788,Football,24-Dec 12:15,Malaysia Super League,Kuala Lumpur v Kuching FA
1789,Football,24-Dec 12:30,Turkey Cup,Boluspor v Fethiyespor
1790,Football,24-Dec 12:30,Africa Cup Of Nations,Burkina Faso v Equatorial Guinea
1791,Football,24-Dec 12:30,Albania Superliga,FK Vora v Bylis Ballsh
1792,Football,24-Dec 13:00,Zambian Super League,Prison Leopards FC v Zesco United
1793,Football,24-Dec 13:00,Rwanda Premier League,Al Merreikh v Musanze
1794,Football,24-Dec 13:00,Israel U19 Elite Division,Maccabi Haifa U19 v Hapoel Raanana U19
1795,Football,24-Dec 13:00,Malaysia Super League,Melaka FC v Imigresen
1796,Football,24-Dec 13:00,Malaysia Super League,Kelantan United v Negeri Sembilan
1797,Football,24-Dec 14:30,Qatar Olympic League,Al Sailiya SC U23 v Al Wakrah SC U23
1798,Football,24-Dec 15:00,Egypt League Cup,Kahrabaa Ismailia v Al Ittihad (EGY)
1799,Football,24-Dec 15:00,Turkey Cup,Keciorengucu v Beyoglu Yeni Carsi
1800,Football,24-Dec 15:00,Africa Cup Of Nations,Algeria v Sudan
1801,Football,24-Dec 15:00,Africa Cup Of Nations,Algeria v Sudan
1802,Football,24-Dec 15:00,Egypt League Cup,Pharco FC v ENPPI
1803,Football,24-Dec 15:00,Saudi Arabia Division 1,Al-Bukayriyah (KSA) v Al Arabi (KSA)
1804,Football,24-Dec 15:30,Albania Superliga,Vllaznia v Flamurtari
1805,Football,24-Dec 15:30,Albania Superliga,AF Elbasani v KF Tirana
1806,Football,24-Dec 15:30,GCC Champions League,Tadamun Hadramot v AL-Nahda (OMA)
1807,Football,24-Dec 16:00,AFC Champions League Two,Al Ahli SC (Doha) v FK Andijan
1808,Football,24-Dec 16:00,AFC Champions League Two,FC Goa v Istiqlol Dushanbe
1809,Football,24-Dec 16:00,Ghana Premier League,Techiman Eleven Wonders FC v Asante Kotoko
1810,Football,24-Dec 16:00,AFC Champions League Two,Al Nasr (KSA) v Al Zawraa (IRQ)
1811,Football,24-Dec 16:00,AFC Champions League Two,Al Muharraq Sports Club v Esteghlal
1812,Football,24-Dec 16:00,AFC Champions League Two,Al Wasl Sports Club (UAE) v Al Wehdat (JOR)
1813,Football,24-Dec 16:00,AFC Champions League Two,Arkadag v Al Khalidiyah
1814,Football,24-Dec 16:30,Rwanda Premier League,Gorilla FC v Al Hilal (Sudan)
1815,Football,24-Dec 17:30,Africa Cup Of Nations,Ivory Coast v Mozambique
1816,Football,24-Dec 17:30,Turkey Cup,Samsunspor v Eyupspor
1817,Football,24-Dec 18:00,Egypt League Cup,Al Mokawloon Al Arab v El Geish
1818,Football,24-Dec 20:00,Africa Cup Of Nations,Cameroon v Gabon
1819,Football,25-Dec 00:00,Saudi Arabia Pro League,Al Ittihad (KSA) v Al Shabab Riyadh
1820,Football,25-Dec 00:00,Saudi Arabia Pro League,Al-Quadisiya (KSA) v Dhamk (KSA)
1821,Football,25-Dec 00:00,Saudi Arabia Pro League,Al Nasr (KSA) v Al-Akhdoud (KSA)
1822,Football,25-Dec 09:00,Myanmar National League,Mahar Utd v Dagon Port FC
1823,Football,25-Dec 09:30,Myanmar National League,Hantharwady Utd v Dagon
1824,Football,25-Dec 10:00,Azerbaijan League 1,MOIK Baku v Sefa
1825,Football,25-Dec 10:30,Azerbaijan League 1,Difai Agsu v Cebrayil
1826,Football,25-Dec 12:30,Saudi Arabia Division 1,Al-Jandal v Al-Adalah (KSA)
1827,Football,25-Dec 12:30,Saudi Arabia Division 1,Al-Jabalain (KSA) v Al-Ula
1828,Football,25-Dec 12:30,Egypt Second Division,Tersana v El Entag El Harby
1829,Football,25-Dec 14:50,Saudi Arabia Pro League,Al Feiha (KSA) v Al Hazm Rass
1830,Football,25-Dec 15:00,Egypt League Cup,Al Masry v Haras El Hodood
1831,Football,25-Dec 15:25,Saudi Arabia Division 1,Al Wahda FC (KSA) v Al Jubail
1832,Football,25-Dec 15:25,Saudi Arabia Division 1,Al Wahda FC (KSA) v Al Jubail
1833,Football,25-Dec 17:00,Israel State Cup,Hapoel Ra'anana v Maccabi Kiryat Gat
1834,Football,25-Dec 17:00,Israel State Cup,Bnei Sakhnin v Maccabi Kabilio Jaffa
1835,Football,25-Dec 17:00,Israel State Cup,Bnei Yehuda Tel Aviv v Maccabi Kiryat Ata Bialik
1836,Football,25-Dec 17:30,Saudi Arabia Pro League,Neom SC v Al-Najma (KSA)
1837,Football,25-Dec 17:30,Saudi Arabia Pro League,Al-Riyadh v Al Ittifaq Dammam (KSA)
1838,Football,25-Dec 18:00,Egypt League Cup,Zamalek v Smouha Sporting Club
1839,Football,25-Dec 18:00,Egypt League Cup,Pyramids FC v Ismaily
1840,Football,25-Dec 18:00,Israel State Cup,Hapoel Tel Aviv v FC Ashdod
1841,Football,25-Dec 18:00,Egypt League Cup,El Gounah v National Bank of Egypt SC
1842,Football,25-Dec 18:30,Algeria Ligue 1,CR Belouizdad v ES Setif
1843,Football,26-Dec 08:00,Liga Nusantara,Cilegon United FC v Persika Karanganyar
1844,Football,26-Dec 08:00,Liga Nusantara,Persiba Bantul v Gresik United
1845,Football,26-Dec 08:35,Australia A-League,Newcastle Jets v Macarthur FC
1846,Football,26-Dec 11:00,Israel State Cup,MS Dimona v Hapoel Kfar Saba
1847,Football,26-Dec 12:00,Israel State Cup,Hapoel Ramat Gan v Hapoel Kiryat Shmona
1848,Football,26-Dec 12:00,Wales Premier League,Barry Town v Cardiff Metropolitan University FC
1849,Football,26-Dec 12:00,Liga Nusantara,Persinab Sang Maestro v Persikutim United
1850,Football,26-Dec 12:00,England National League South,Eastbourne Borough FC v Worthing
1851,Football,26-Dec 12:00,Liga Nusantara,Waanal Brothers FC v Perseden Denpasar
1852,Football,26-Dec 12:00,Israel State Cup,Hapoel Katamon Jerusalem v Hapoel Um El-Phahem
1853,Football,26-Dec 12:20,Saudi Arabia Division 1,Al-Raed (KSA) v Al-Diraiyah
1854,Football,26-Dec 12:20,Saudi Arabia Division 1,Al-Zulfi v Al-Orubah (KSA)
1855,Football,26-Dec 12:30,England Championship,Birmingham City v Derby County
1856,Football,26-Dec 12:30,Belgium Pro League,Genk v Club Brugge
1857,Football,26-Dec 12:30,England National League North,Scarborough v Darlington
1858,Football,26-Dec 12:30,Africa Cup Of Nations,Angola v Zimbabwe
1859,Football,26-Dec 12:30,Egypt Cup,ZED v Alo Egypt FC
1860,Football,26-Dec 12:40,Saudi Arabia Division 1,Abha (KSA) v Al-Taee (KSA)
1861,Football,26-Dec 12:45,UAE Division 1,Hatta Dubai v Al Ittifaq FC
1862,Football,26-Dec 12:45,UAE Division 1,Emirates Club v Al Arabi (UAE)
1863,Football,26-Dec 12:45,UAE Division 1,Emirates Club v Al Arabi (UAE)
1864,Football,26-Dec 12:45,UAE Division 1,Al Dahra v Dubai City
1865,Football,26-Dec 12:45,UAE Division 1,Dubba Al Husun v Al-Urooba
1866,Football,26-Dec 12:45,UAE Division 1,Al Jazira Hamra v Al Thaid
1867,Football,26-Dec 12:45,UAE Division 1,Fujairah Sport Club v Al Hamriyah
1868,Football,26-Dec 12:50,UAE Division 1,Dubai United v Masfut
1869,Football,26-Dec 13:00,England National League South,Chesham United v Hemel Hempstead Town
1870,Football,26-Dec 13:00,England National League South,Dagenham & Redbridge v Hornchurch
1871,Football,26-Dec 13:00,England National League South,Ebbsfleet United v Tonbridge Angels
1872,Football,26-Dec 13:00,Rwanda Premier League,Rutsiro FC v Gicumbi
1873,Football,26-Dec 13:00,England National League South,Maidstone United v Dover
1874,Football,26-Dec 13:00,England Northern Premier League Division One Midlands,St Neots Town v Bedworth United
1875,Football,26-Dec 13:00,England National League North,Oxford City v Merthyr Town
1876,Football,26-Dec 13:00,England Championship,Millwall v Ipswich Town
1877,Football,26-Dec 13:00,Rwanda Premier League,Gasogi United v AS Kigali
1878,Football,26-Dec 13:00,England Northern Premier League Division One East,Bradford Park Avenue v Pontefract Collieries
1879,Football,26-Dec 13:05,Saudi Arabia Pro League,Al-Fateh (KSA) v Al Ahli Jeddah (KSA)
1880,Football,26-Dec 13:30,Northern Ireland Championship,Annagh United v Ballinamallard United
1881,Football,26-Dec 14:00,Wales Cymru North,Flint Mountain v Holywell Town
1882,Football,26-Dec 14:00,Wales Cymru North,Holyhead Hotspurs v Rhyl
1883,Football,26-Dec 14:00,Wales Cymru South,Treowen Stars v Trethomas Bluebirds
1884,Football,26-Dec 14:00,Wales Cymru North,Llandudno FC v Buckley Town
1885,Football,26-Dec 14:00,Wales Cymru South,Carmarthen Town v Ammanford AFC
1886,Football,26-Dec 14:00,Wales Cymru North,Mold v Caersws FC
1887,Football,26-Dec 14:00,Wales Cymru South,Baglan Dragons v Afan Lido
1888,Football,26-Dec 14:00,Wales Cymru North,Newtown v Airbus UK
1889,Football,26-Dec 14:00,Wales Cymru South,Trefelin BGC v Caerau Ely
1890,Football,26-Dec 14:00,Wales Cymru North,Ruthin Town FC v Denbigh Town
1891,Football,26-Dec 14:00,Wales Cymru South,Ynyshir Albions v Cambrian & Clydach Vale
1892,Football,26-Dec 14:00,Wales Cymru South,Pontypridd United v Aberystwyth
1893,Football,26-Dec 14:00,Wales Cymru South,Cardiff Draconians v Llantwit Major
1894,Football,26-Dec 14:00,Wales Cymru South,Cardiff Draconians v Llantwit Major
